step,replicas,ready_replicas,latency_p90,cpu_pct,requests,success_rate,vcpu_minutes,scale_event,llm_model,llm_variant,llm_tokens_used,llm_latency_ms
0,3,3,100.2,91.8,551,1.0,1.5,0,llama4-scout,cot,0,0.0
1,3,3,57.8,86.7,520,1.0,3.0,0,llama4-scout,cot,0,0.0
2,3,3,48.7,83.2,499,1.0,4.5,0,llama4-scout,cot,0,0.0
3,3,3,59.1,85.5,513,1.0,6.0,0,llama4-scout,cot,0,0.0
4,3,3,63.3,86.5,519,1.0,7.5,0,llama4-scout,cot,0,0.0
5,3,3,141.1,95.2,571,1.0,9.0,0,llama4-scout,cot,0,0.0
6,3,3,670.9,100.0,795,0.8375,10.5,0,llama4-scout,cot,0,0.0
7,3,3,1395.6,100.0,933,0.7225,12.0,0,llama4-scout,cot,0,0.0
8,3,3,1195.7,100.0,913,0.7392,13.5,0,llama4-scout,cot,0,0.0
9,5,3,874.1,100.0,848,0.7933,15.0,1,llama4-scout,cot,621,970.5
10,5,5,79.6,89.0,890,1.0,17.5,0,llama4-scout,cot,651,1012.8
11,5,5,80.5,88.9,889,1.0,20.0,0,llama4-scout,cot,749,1236.6
12,4,4,35.3,76.8,768,1.0,22.5,1,llama4-scout,cot,749,1234.2
13,4,4,190.2,97.8,782,1.0,24.5,0,llama4-scout,cot,749,1533.5
14,7,4,174.7,96.8,774,1.0,26.5,1,llama4-scout,cot,749,1234.8
15,4,4,16.3,56.4,790,1.0,30.0,1,llama4-scout,cot,721,1163.7
16,6,4,234.5,100.0,800,1.0,32.0,1,llama4-scout,cot,749,1219.0
17,5,5,32.2,74.7,896,1.0,35.0,1,llama4-scout,cot,727,1199.4
18,5,5,104.0,91.7,917,1.0,37.5,0,llama4-scout,cot,657,1063.2
19,20,5,106.0,93.3,933,1.0,40.0,1,llama4-scout,cot,749,1280.0
20,9,9,9.6,22.4,894,1.0,50.0,1,llama4-scout,cot,749,1254.3
21,5,5,13.9,49.2,885,1.0,54.5,1,llama4-scout,cot,743,1206.6
22,5,5,46.4,81.8,818,1.0,57.0,0,llama4-scout,cot,747,1546.6
23,8,5,44.6,79.3,793,1.0,59.5,1,llama4-scout,cot,749,1252.3
24,4,4,14.6,49.3,789,1.0,63.5,1,llama4-scout,cot,730,1183.0
25,5,4,254.5,100.0,809,0.9944,65.5,1,llama4-scout,cot,589,870.7
26,5,5,43.7,80.8,808,1.0,68.0,0,llama4-scout,cot,749,1759.0
27,4,4,65.3,86.0,860,1.0,70.5,1,llama4-scout,cot,741,1249.2
28,20,4,123.8,93.8,750,1.0,72.5,1,llama4-scout,cot,749,1235.2
29,10,10,9.1,18.8,751,1.0,82.5,1,llama4-scout,cot,666,1034.3
30,4,4,11.1,41.1,823,1.0,87.5,1,llama4-scout,cot,749,1235.5
31,5,4,243.5,99.0,792,1.0,89.5,1,llama4-scout,cot,610,938.9
32,3,3,25.1,68.1,681,1.0,92.0,1,llama4-scout,cot,749,1320.2
33,4,3,370.0,100.0,678,0.935,93.5,1,llama4-scout,cot,658,1071.7
34,20,4,47.5,79.8,638,1.0,95.5,1,llama4-scout,cot,749,1222.1
35,10,10,8.0,15.2,608,1.0,105.5,1,llama4-scout,cot,749,1232.0
36,3,3,9.2,28.5,571,1.0,110.5,1,llama4-scout,cot,560,805.6
37,4,3,286.9,100.0,629,0.9758,112.0,1,llama4-scout,cot,608,950.6
38,3,3,37.8,76.8,614,1.0,114.0,1,llama4-scout,cot,749,1492.8
39,4,3,267.3,100.0,615,0.9875,115.5,1,llama4-scout,cot,632,951.9
40,20,4,55.4,84.8,678,1.0,117.5,1,llama4-scout,cot,749,1215.7
41,5,5,8.4,20.2,809,1.0,127.5,1,llama4-scout,cot,749,1237.8
42,4,4,30.4,72.4,724,1.0,130.0,1,llama4-scout,cot,749,1228.4
43,4,4,127.1,94.5,756,1.0,132.0,0,llama4-scout,cot,650,1014.5
44,20,4,91.2,91.5,732,1.0,134.0,1,llama4-scout,cot,749,1234.4
45,4,4,8.9,18.4,738,1.0,144.0,1,llama4-scout,cot,749,1242.2
46,20,4,66.9,87.1,697,1.0,146.0,1,llama4-scout,cot,749,1243.3
47,10,10,8.9,18.3,732,1.0,156.0,1,llama4-scout,cot,725,1178.0
48,20,10,12.4,40.8,815,1.0,161.0,1,llama4-scout,cot,749,1246.2
49,10,10,8.8,20.5,819,1.0,171.0,1,llama4-scout,cot,719,1188.7
50,5,5,12.6,41.8,836,1.0,176.0,1,llama4-scout,cot,707,1128.3
51,5,5,51.1,82.2,822,1.0,178.5,0,llama4-scout,cot,745,1366.7
52,5,5,26.2,70.7,707,1.0,181.0,0,llama4-scout,cot,749,1237.3
53,4,4,25.4,67.3,673,1.0,183.5,1,llama4-scout,cot,749,1238.5
54,3,3,39.3,79.1,633,1.0,185.5,1,llama4-scout,cot,727,1176.8
55,4,3,311.0,100.0,640,0.9667,187.0,1,llama4-scout,cot,607,1048.0
56,3,3,38.8,77.9,623,1.0,189.0,1,llama4-scout,cot,749,1250.0
57,20,3,454.3,100.0,698,0.9183,190.5,1,llama4-scout,cot,750,1221.7
58,3,3,8.5,14.8,590,1.0,200.5,1,llama4-scout,cot,708,1145.3
59,4,3,232.2,100.0,604,0.9967,202.0,1,llama4-scout,cot,687,1189.7
60,3,3,72.0,88.0,704,1.0,204.0,1,llama4-scout,cot,717,1162.0
61,4,3,488.2,100.0,719,0.9008,205.5,1,llama4-scout,cot,508,672.6
62,3,3,113.2,93.1,745,1.0,207.5,1,llama4-scout,cot,726,1276.7
63,8,3,732.7,100.0,795,0.8375,209.0,1,llama4-scout,cot,750,1217.5
64,4,4,12.1,49.6,793,1.0,213.0,1,llama4-scout,cot,724,1281.6
65,5,4,106.3,91.8,734,1.0,215.0,1,llama4-scout,cot,713,1173.0
66,20,5,28.7,71.2,712,1.0,217.5,1,llama4-scout,cot,749,1254.1
67,10,10,9.5,17.5,702,1.0,227.5,1,llama4-scout,cot,749,1233.4
68,4,4,10.5,36.5,730,1.0,232.5,1,llama4-scout,cot,650,1036.9
69,4,4,43.3,78.1,625,1.0,234.5,0,llama4-scout,cot,749,1267.7
70,4,4,62.6,86.9,695,1.0,236.5,0,llama4-scout,cot,659,1059.9
71,3,3,39.6,77.2,618,1.0,238.5,1,llama4-scout,cot,688,1083.7
72,4,3,97.6,92.7,556,1.0,240.0,1,llama4-scout,cot,696,1167.8
73,4,4,31.1,73.6,589,1.0,242.0,0,llama4-scout,cot,701,1119.4
74,8,4,22.4,65.4,523,1.0,244.0,1,llama4-scout,cot,749,1678.3
75,3,3,10.9,37.9,607,1.0,248.0,1,llama4-scout,cot,749,1232.6
76,4,3,686.1,100.0,794,0.8383,249.5,1,llama4-scout,cot,580,994.0
77,5,4,353.7,100.0,890,0.9437,251.5,1,llama4-scout,cot,598,879.1
78,6,5,297.9,100.0,1034,0.983,254.0,1,llama4-scout,cot,700,1204.8
79,7,6,371.6,100.0,1323,0.9487,257.0,1,llama4-scout,cot,609,911.1
80,6,6,45.9,82.3,1152,1.0,260.5,1,llama4-scout,cot,750,1228.7
81,5,5,53.4,81.8,982,1.0,263.5,1,llama4-scout,cot,749,1230.9
82,4,4,58.2,84.7,847,1.0,266.0,1,llama4-scout,cot,749,1265.5
83,5,4,289.8,100.0,823,0.9856,268.0,1,llama4-scout,cot,618,975.8
